"Year","Region","NEP Name","Project Name","Habitat Type","Activity","Restoration Technique","Acres"
"2016","Region 4","Tampa Bay Estuary Program","Bay Vista Park Oyster Reef Creation Project","Estuarine Shoreline","Enhancement","Reef Construction - Natural Materials","0"
"2016","Region 4","Tampa Bay Estuary Program","World Oceans Day","Estuarine Shoreline","Enhancement","Debris Removal","0"
"2016","Region 4","Tampa Bay Estuary Program","Feather Sound Coastal Restoration","Other","Enhancement","Invasives Control/Removal - Vegetation","10"
"2016","Region 4","Tampa Bay Estuary Program","Hillsborough River and Coastal Cleanup","Estuarine Shoreline","Enhancement","Debris Removal","0"
"2018","Region 4","Tampa Bay Estuary Program","Redus Preserve","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","22"
"2016","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay at Robinson Preserve","Shell Bottom","Enhancement","Reef Construction - Natural Materials",".04"
"2016","Region 4","Tampa Bay Estuary Program","Invasive Species Control","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","1500"
"2013","Region 4","Tampa Bay Estuary Program","Mac Dill Air Force Base","Tidal Wetland","Enhancement","Shoreline Stabilization/Enhancement",".36"
"2014","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Lowry Park Zoo","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","1"
"2014","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Florida State Fairgrounds","Grassland","Enhancement","Planting","1"
"2014","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Perico Preserve","Forested Wetland","Enhancement","Planting","10"
"2014","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Fort De Soto Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","5"
"2014","Region 4","Tampa Bay Estuary Program","NE 4th Avenue Wetlands Restoration","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","0"
"2013","Region 4","Tampa Bay Estuary Program","MacDill Air Force Base Phase 3","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","111.45"
"2013","Region 4","Tampa Bay Estuary Program","Alligator Lake Habitat Restoration","Forested Wetland","Enhancement","Vegetation Buffer","18.64"
"2014","Region 4","Tampa Bay Estuary Program","Anderson Park-Melaleuca","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","5.5"
"2014","Region 4","Tampa Bay Estuary Program","Mac Dill Shoreline Restoration","Forested Wetland","Enhancement","Shoreline Stabilization/Enhancement","3"
"2014","Region 4","Tampa Bay Estuary Program","MacDill Shoreline Stabilization and Enhancement Project Phase 5","Soft Bottom/sand","Enhancement","Shoreline Stabilization/Enhancement","0"
"2014","Region 4","Tampa Bay Estuary Program","Anderson Park Exotics","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","48"
"2014","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Perico (grass plugs)","Forested Wetland","Enhancement","Planting","8"
"2013","Region 4","Tampa Bay Estuary Program","MacDill Shoreline Stabilization and Enhancement Project","Shell Bottom","Enhancement","Shoreline Stabilization/Enhancement","0"
"2013","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Perico Preserve","Forested Wetland","Enhancement","Planting","12"
"2013","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Al Palonis Park","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","2"
"2013","Region 4","Tampa Bay Estuary Program","Booker Creek Habitat Restoration at Campbell Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","0"
"2013","Region 4","Tampa Bay Estuary Program","Restoration of no-name retention pond at the Shores of Long Bayou","Lake/Pond","Enhancement","Invasives Control/Removal - Vegetation",".1"
"2013","Region 4","Tampa Bay Estuary Program","Fort DeSoto Native Coastal Planting Site 1","Tidal Wetland","Enhancement","Vegetation Buffer",".17"
"2013","Region 4","Tampa Bay Estuary Program","Hands-On Learning Through Coastal Habitat Restoration","Dune","Enhancement","Beach Nourishment",".25"
"2013","Region 4","Tampa Bay Estuary Program","Schultz Nature Preserve Oyster Bar Creation Project","Shell Bottom","Enhancement","Shoreline Stabilization/Enhancement","0"
"2013","Region 4","Tampa Bay Estuary Program","Fort De Soto Native Coastal Planting Site 3","Tidal Wetland","Enhancement","Vegetation Buffer",".27"
"2013","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Lowry Park Zoo","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","4"
"2013","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Joe's Creek Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","2"
"2013","Region 4","Tampa Bay Estuary Program","Green Key Oyster Bar Creation Project","Mangrove","Enhancement","Reef Construction - Natural Materials","0"
"2013","Region 4","Tampa Bay Estuary Program","Tarpon Key Oyster Bar Creation Project","Shell Bottom","Enhancement","Reef Construction - Natural Materials","0"
"2013","Region 4","Tampa Bay Estuary Program","MacDill Seagrass Transplanting Project Phase IV","SAV (Submerged Aquatic Vegetation)","Establishment","Planting","0"
"2013","Region 4","Tampa Bay Estuary Program","Diamondback Terrapins in Tampa Bay - Tarpon Key Comprehensive Habitat Restoration Project","Mangrove","Enhancement","Invasives Control/Removal - Vegetation","0"
"2013","Region 4","Tampa Bay Estuary Program","Elnor Island Oyster Bar Creation Project","Island","Enhancement","Reef Construction - Natural Materials","0"
"2013","Region 4","Tampa Bay Estuary Program","Bahia Beach Coastal Restoration","Freshwater Marsh","Enhancement","Shoreline Stabilization/Enhancement","4"
"2013","Region 4","Tampa Bay Estuary Program","Give a Day for the Bay - Sawgrass Lake","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","11"
"2013","Region 4","Tampa Bay Estuary Program","NE 4th Avenue Wetlands Restoration","Freshwater Marsh","Enhancement","Invasives Control/Removal - Vegetation","0"
"2015","Region 4","Tampa Bay Estuary Program","Gopher Tortoise Habitat Management","Forest/Woodland","Enhancement","Prescribed Burn","97"
"2015","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay Fort De Soto Park","Estuarine Shoreline","Enhancement","Planting","3"
"2015","Region 4","Tampa Bay Estuary Program","Bullfrog Creek Scrub Preserve","Freshwater Marsh","Enhancement","Stream Flow Modification (including stream pool construction)","302"
"2015","Region 4","Tampa Bay Estuary Program","Balm Scrub Addition","Agriculture/Ranch Land","Enhancement","Invasives Control/Removal - Vegetation","430"
"2015","Region 4","Tampa Bay Estuary Program","Feather Sound Coastal Restoration","Freshwater Marsh","Enhancement","Planting","5"
"2015","Region 4","Tampa Bay Estuary Program","Rock Ponds Ecosystem Restoration in Tampa Bay: Tampa Bay Environmental Fund project","Freshwater Marsh","Establishment","Other","20"
"2015","Region 4","Tampa Bay Estuary Program","Reducing Nitrogen Loads to Tampa Bay using Bioretention Systems","Freshwater Marsh","Enhancement","Rain Garden Creation","1"
"2015","Region 4","Tampa Bay Estuary Program","Alligator Lake Habitat Restoration","Forested Wetland","Maintenance","Invasives Control/Removal - Vegetation","18.64"
"2015","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay Robinson Preserve Reef Creation","Estuarine Shoreline","Enhancement","Planting","0"
"2016","Region 4","Tampa Bay Estuary Program","Feather Sound Phase 2","Tidal Wetland","Establishment","Invasives Control/Removal - Vegetation","11"
"2015","Region 4","Tampa Bay Estuary Program","Rye Preserve Exotics Treatment","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","100"
"2015","Region 4","Tampa Bay Estuary Program","Hidden Harbor Exotics Treatment","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","66"
"2015","Region 4","Tampa Bay Estuary Program","Duette Preserve Longleaf Pine Planting 2015","Forest/Woodland","Enhancement","Planting","165"
"2015","Region 4","Tampa Bay Estuary Program","Rocky Creek Preserve Habitat Restoration","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","70"
"2015","Region 4","Tampa Bay Estuary Program","McKay Bay Oyster Creation Project","Shell Bottom","Enhancement","Shoreline Stabilization/Enhancement","0"
"2015","Region 4","Tampa Bay Estuary Program","Golden Aster Scrub Preserve","Forest/Woodland","Enhancement","Other","30"
"2015","Region 4","Tampa Bay Estuary Program","Balm Boyette Scrub Preserve","Forest/Woodland","Enhancement","Other","97"
"2015","Region 4","Tampa Bay Estuary Program","Bahia Beach Nature Preserve","Mangrove","Enhancement","Invasives Control/Removal - Vegetation","80"
"2015","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Flatwoods Restoration","Forest/Woodland","Enhancement","Other","250"
"2015","Region 4","Tampa Bay Estuary Program","MacDill AFB Living Shoreline Creation Project","Shell Bottom","Enhancement","Shoreline Stabilization/Enhancement","0"
"2015","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay Boyd Hill Nature Preserve","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","2"
"2015","Region 4","Tampa Bay Estuary Program","Allen’s Creek Management Area Exotic Vegetation Control","Freshwater Marsh","Maintenance","Invasives Control/Removal - Vegetation","4"
"2015","Region 4","Tampa Bay Estuary Program","Rock Ponds Ecosystem Restoration","Tidal Wetland","Enhancement","Shoreline Stabilization/Enhancement","10"
"2015","Region 4","Tampa Bay Estuary Program","Honeymoon Island Oyster Reef Restoration and Enhancement Project","Shell Bottom","Enhancement","Reef Construction - Natural Materials",".13"
"2015","Region 4","Tampa Bay Estuary Program","Mangrove Restoration, Sites 8 & 15 (Phase I)","Mangrove","Enhancement","Fill Removal",".85"
"2015","Region 4","Tampa Bay Estuary Program","Duette Preserve Exotic Treatment","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","7000"
"2015","Region 4","Tampa Bay Estuary Program","East Lake Management Area Exotic Vegetation Control","Forested Wetland","Maintenance","Invasives Control/Removal - Vegetation","3.7"
"2015","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn – Unit: Whispering Lakes West","Forest/Woodland","Enhancement","Prescribed Burn","9"
"2015","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn – Unit: Northeast","Forest/Woodland","Enhancement","Prescribed Burn","21"
"2015","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn – Unit: Twisted Pine Trail","Forest/Woodland","Enhancement","Prescribed Burn","59"
"2015","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn – Unit: Red Trail","Forest/Woodland","Enhancement","Prescribed Burn","66"
"2015","Region 4","Tampa Bay Estuary Program","Duette Preserve Prescribed Burning","Forest/Woodland","Enhancement","Prescribed Burn","5775"
"2015","Region 4","Tampa Bay Estuary Program","Bear Creek Channel Improvements","Tidal Wetland","Enhancement","Shoreline Stabilization/Enhancement","7"
"2015","Region 4","Tampa Bay Estuary Program","Lower Green Swamp Preserve","Forest/Woodland","Enhancement","Other","340"
"2015","Region 4","Tampa Bay Estuary Program","Triple Creek Preserve - PH II","Agriculture/Ranch Land","Enhancement","Invasives Control/Removal - Vegetation","138"
"2015","Region 4","Tampa Bay Estuary Program","Blackwater Creek Preseve","Forest/Woodland","Enhancement","Other","650"
"2015","Region 4","Tampa Bay Estuary Program","Rye Preserve Gopher Habitat Improvements","Other","Enhancement","Other","35.4"
"2015","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay Robinson Preserve","Estuarine Shoreline","Enhancement","Erosion Control","0"
"2011","Region 4","Tampa Bay Estuary Program","Three Mile North Reef","Hard Bottom","Enhancement","Reef Construction - Artificial Materials","23"
"2013","Region 4","Tampa Bay Estuary Program","Ulele Springs Restoration Project","In-Stream","Establishment","Bulkhead Removal",".5"
"2013","Region 4","Tampa Bay Estuary Program","Invasive Species Control","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","880"
"2012","Region 4","Tampa Bay Estuary Program","Ungarelli Preserve Habitat Restoration","Tidal Wetland","Enhancement","Invasives Control/Removal - Vegetation","2.56"
"2012","Region 4","Tampa Bay Estuary Program","Perico Preserve Habitat Restoration","Other","Enhancement","Planting","25.36"
"2012","Region 4","Tampa Bay Estuary Program","Duette Preserve Hydrological Restoration","Freshwater Marsh","Establishment","Ditch Removal, Filling, or Plugging","300"
"2012","Region 4","Tampa Bay Estuary Program","Manatee River Environmental Stewardship Program","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","3"
"2012","Region 4","Tampa Bay Estuary Program","Neal Preserve Habitat Restoration","Other","Enhancement","Invasives Control/Removal - Vegetation","6.26"
"2012","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Pine Ridge Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","5.5"
"2012","Region 4","Tampa Bay Estuary Program","Cow Branch Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","1.4"
"2012","Region 4","Tampa Bay Estuary Program","Restoration of No-Name Retention Pond at The Shores of Long Bayou","Lake/Pond","Enhancement","Vegetation Buffer",".15"
"2012","Region 4","Tampa Bay Estuary Program","Schultz Nature Preserve Oyster Bar Creation Project","Beach","Enhancement","Reef Construction - Artificial Materials","0"
"2012","Region 4","Tampa Bay Estuary Program","East Lake Management Area Invasive Plant Management","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","3.7"
"2012","Region 4","Tampa Bay Estuary Program","Alafia Bank Bird Sanctuary Artificial Reef","Island","Establishment","Reef Construction - Artificial Materials","0"
"2012","Region 4","Tampa Bay Estuary Program","MacDill Upland Forest Habitat Management","Forest/Woodland","Enhancement","Prescribed Burn","35"
"2012","Region 4","Tampa Bay Estuary Program","Alligator Lake Habitat Restoration","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","18.64"
"2012","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Lake Seminole Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","5"
"2012","Region 4","Tampa Bay Estuary Program","Walsingham Park Invasive Plant Control / Give A Day for the Bay","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","12"
"2012","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Rye Preserve","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation",".5"
"2012","Region 4","Tampa Bay Estuary Program","Clam Bayou Phase 3","Forest/Woodland","Establishment","Invasives Control/Removal - Vegetation","28.36"
"2012","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - South Gandy Park","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","7.9"
"2012","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Sawgrass Lake Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation",".5"
"2012","Region 4","Tampa Bay Estuary Program","Shoreline Enhancement for MacDill Air Force Base, Phase IV","Beach","Enhancement","Shoreline Stabilization/Enhancement","0"
"2012","Region 4","Tampa Bay Estuary Program","Weedon Island Oyster Bar Creation Project","Mangrove","Enhancement","Reef Construction - Natural Materials","0"
"2012","Region 4","Tampa Bay Estuary Program","Cockroach Bay Aquatic Preserve","Tidal Wetland","Enhancement","Shoreline Stabilization/Enhancement","10"
"2012","Region 4","Tampa Bay Estuary Program","Fort De Soto Native Coastal Planting - Site #2","Freshwater Marsh","Enhancement","Vegetation Buffer",".17"
"2012","Region 4","Tampa Bay Estuary Program","Mac Dill Air Force Base","Tidal Wetland","Enhancement","Shoreline Stabilization/Enhancement",".36"
"2012","Region 4","Tampa Bay Estuary Program","Fort De Soto Native Coastal Planting - Site #4","Freshwater Marsh","Enhancement","Vegetation Buffer",".19"
"2012","Region 4","Tampa Bay Estuary Program","Seminole Middle School Native Plant Restoration Project","Grassland","Enhancement","Planting","1.5"
"2012","Region 4","Tampa Bay Estuary Program","Bay Pines","Mangrove","Enhancement","Invasives Control/Removal - Vegetation","12"
"2012","Region 4","Tampa Bay Estuary Program","Rock Ponds Upland Restoration 1","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","264"
"2012","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve - South Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","20"
"2012","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn (Unit-Worthington Cir)","Forest/Woodland","Enhancement","Prescribed Burn","12"
"2012","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn (Unit-Lora Lane to Diagonal)","Forest/Woodland","Enhancement","Prescribed Burn","22"
"2012","Region 4","Tampa Bay Estuary Program","Curosity Creek Preserve","Forest/Woodland","Protection","Land Acquisition","164"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - McKay Creek Greenway","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","10"
"2011","Region 4","Tampa Bay Estuary Program","Weedon Island Preserve Prescribed Burn","Forested Wetland","Enhancement","Prescribed Burn","4"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Fort DeSoto Park","Beach","Enhancement","Planting","2"
"2011","Region 4","Tampa Bay Estuary Program","Green Key Oyster Bar Creation Project","Shell Bottom","Enhancement","Reef Construction - Natural Materials","0"
"2011","Region 4","Tampa Bay Estuary Program","Terra Ceia Uplands, Phase 6","Forest/Woodland","Enhancement","Planting","158"
"2011","Region 4","Tampa Bay Estuary Program","Least Tern Roof Nesting Project","Other","Establishment","Bird Habitat Enhancement","0"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Lost River/Cockroach Bay","Forested Wetland","Enhancement","Planting","2"
"2011","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn (Unit North Diagonal West)","Forest/Woodland","Enhancement","Prescribed Burn","5"
"2012","Region 4","Tampa Bay Estuary Program","Lake Tarpon Management Area Invasive Plant Management","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","7"
"2011","Region 4","Tampa Bay Estuary Program","Fort DeSoto Park Prescribed Burn","Forest/Woodland","Enhancement","Prescribed Burn","29"
"2011","Region 4","Tampa Bay Estuary Program","Restoration at Little Manatee River State Park","Forest/Woodland","Enhancement","Planting","71"
"2011","Region 4","Tampa Bay Estuary Program","Tarpon Key NWR Tidal Wetland Restoration","Mangrove","Enhancement","Shoreline Stabilization/Enhancement","1"
"2011","Region 4","Tampa Bay Estuary Program","MacDill Invasive Species Control","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","860"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Emerson Point Preserve","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","8.2"
"2011","Region 4","Tampa Bay Estuary Program","Cow Branch Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","1.4"
"2011","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn (Unit-Diagonal Ponds East)","Forest/Woodland","Enhancement","Prescribed Burn","21"
"2011","Region 4","Tampa Bay Estuary Program","Tarpon Key Oyster Bar Creation Project","Mangrove","Enhancement","Reef Construction - Artificial Materials","-"
"2011","Region 4","Tampa Bay Estuary Program","Cabbage Key Exotic Vegetation Removal","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","4.5"
"2011","Region 4","Tampa Bay Estuary Program","Bayshore Beautiful HOA Seawall Oyster Dome Project","Hard Bottom","Enhancement","Reef Construction - Artificial Materials","0"
"2011","Region 4","Tampa Bay Estuary Program","East Lake Management Area Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","3.7"
"2011","Region 4","Tampa Bay Estuary Program","Lake Tarpon Management Area Invasive Plant Management","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","7"
"2011","Region 4","Tampa Bay Estuary Program","Clam Bayou Native Planting","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation",".25"
"2007","Region 4","Tampa Bay Estuary Program","Weedon Island Burn - 2B","Forest/Woodland","Enhancement","Prescribed Burn","5"
"2011","Region 4","Tampa Bay Estuary Program","Bi-Annual Bear Creek Clean-Up","In-Stream","Enhancement","Debris Removal","0"
"2011","Region 4","Tampa Bay Estuary Program","Estuary EDventures","Dune","Enhancement","Planting","3.1"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Picnic Island Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","3"
"2011","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve Prescribed Burn (Unit-Glenridge)","Forest/Woodland","Enhancement","Prescribed Burn","8"
"2011","Region 4","Tampa Bay Estuary Program","Terra Ceia Aquatic Preserve Tidal Wetland Restoration","Tidal Wetland","Enhancement","Shoreline Stabilization/Enhancement","2"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Moccasin Lake Nature Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","1.45"
"2011","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve - Pine Ridge Area Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","5.5"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Robinson Preserve","Forest/Woodland","Enhancement","Planting","1"
"2011","Region 4","Tampa Bay Estuary Program","Whale Island Oyster Bar Creation Project","Mangrove","Enhancement","Reef Construction - Natural Materials","0"
"2011","Region 4","Tampa Bay Estuary Program","Brooker Creek Preserve - South Invasive Plant Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","14"
"2011","Region 4","Tampa Bay Estuary Program","MacDill Upland Forest Habitat Management","Forest/Woodland","Enhancement","Prescribed Burn","16"
"2011","Region 4","Tampa Bay Estuary Program","Watershed Improvement Partnership between Shorecrest Preparatory School and Placido Bayou Community Association","Lake/Pond","Enhancement","Planting","4.8"
"2016","Region 4","Tampa Bay Estuary Program","Oyster Reef Shoreline Stabilization Phase V","Shell Bottom","Enhancement","Reef Construction - Natural Materials",".06"
"2007","Region 4","Tampa Bay Estuary Program","Alligator Lake Management Area","Other","Enhancement","Invasives Control/Removal - Vegetation","31"
"2011","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Al Palonis Park","Mangrove","Enhancement","Invasives Control/Removal - Vegetation","2.5"
"2006","Region 4","Tampa Bay Estuary Program","Felts-Audubon Restoration Project","-","Enhancement","Rehabilitation/Creation","30"
"2014","Region 4","Tampa Bay Estuary Program","Bahia Beach","Agriculture/Ranch Land","Enhancement","Vegetation Buffer","148"
"2014","Region 4","Tampa Bay Estuary Program","Gopher Tortoise Habitat Management","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","96"
"2014","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Sawgrass Lake Park","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","8"
"2014","Region 4","Tampa Bay Estuary Program","Terra Ceia Upland Restoration Phase 7","Agriculture/Ranch Land","Enhancement","Invasives Control/Removal - Vegetation","67"
"2014","Region 4","Tampa Bay Estuary Program","Ulele Springs Restoration Project","Forested Wetland","Establishment","Bulkhead Removal",".5"
"2010","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Joe's Creek Management Area","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","6.7"
"2010","Region 4","Tampa Bay Estuary Program","Site 9 Mangrove Restoration","Mangrove","Enhancement","Ditch Removal, Filling, or Plugging","2"
"2010","Region 4","Tampa Bay Estuary Program","Lost River Preserve/Cockroach Bay Wetland Creation Project","Freshwater Marsh","Establishment","Invasives Control/Removal - Vegetation","5.5"
"2010","Region 4","Tampa Bay Estuary Program","Oyster Reef Shoreline Stabilization Phase IV","Shell Bottom","Establishment","Shoreline Stabilization/Enhancement","0"
"2010","Region 4","Tampa Bay Estuary Program","Mac Dill Air Force Base","Tidal Wetland","Establishment","Shoreline Stabilization/Enhancement",".5"
"2010","Region 4","Tampa Bay Estuary Program","Fort De Soto North Beach","Tidal Wetland","Establishment","Shoreline Stabilization/Enhancement",".22"
"2010","Region 4","Tampa Bay Estuary Program","Stewart Middle School Shoreline Restoration","Riparian","Enhancement","Shoreline Stabilization/Enhancement","0"
"2010","Region 4","Tampa Bay Estuary Program","Ekker Restoration Project","Freshwater Marsh","Establishment","Invasives Control/Removal - Vegetation","19"
"2010","Region 4","Tampa Bay Estuary Program","Whiskey Stump Key Oyster Bar Creation Project","Shell Bottom","Establishment","Shoreline Stabilization/Enhancement","0"
"2010","Region 4","Tampa Bay Estuary Program","Wolfbranch Creek Nature Preserve Ephemeral Pond Creation","Freshwater Marsh","Establishment","Other","3.5"
"2010","Region 4","Tampa Bay Estuary Program","Green Key Oyster Bar Creation Project","Shell Bottom","Establishment","Shoreline Stabilization/Enhancement","0"
"2010","Region 4","Tampa Bay Estuary Program","Terra Ceia Aquatic Preserve","Tidal Wetland","Establishment","Shoreline Stabilization/Enhancement","9.9"
"2011","Region 4","Tampa Bay Estuary Program","Restoration of the Forest Conservation Area","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation","2.4"
"2011","Region 4","Tampa Bay Estuary Program","Canterbury School Bay Restoration","SAV (Submerged Aquatic Vegetation)","Enhancement","Reef Construction - Natural Materials","0"
"2011","Region 4","Tampa Bay Estuary Program","Shoreline Enhancement for MacDill Air Force Base Phase IV","Hard Bottom","Enhancement","Reef Construction - Artificial Materials","0"
"2009","Region 4","Tampa Bay Estuary Program","Lithia Springs Addition","Forested Wetland","-","Land Acquisition","10"
"2009","Region 4","Tampa Bay Estuary Program","Brooker Creek Buffer","Forested Wetland","-","Land Acquisition","66"
"2009","Region 4","Tampa Bay Estuary Program","Alafia South Prong","Forested Wetland","-","Land Acquisition","80"
"2009","Region 4","Tampa Bay Estuary Program","Eagle Lake Park","Freshwater Marsh","Enhancement","Invasives Control/Removal - Vegetation","5"
"2009","Region 4","Tampa Bay Estuary Program","Seagrass Recovery in Tampa Bay","SAV (Submerged Aquatic Vegetation)","Establishment","Other","1348"
"2009","Region 4","Tampa Bay Estuary Program","Terra Ceia 'Airplane Forest' Upland Restoration","Forest/Woodland","Establishment","Rehabilitation/Creation","47.9"
"2010","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Emerson Point Preserve","Forest/Woodland","Enhancement","Planting","12"
"2010","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Walsingham Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","1.91"
"2010","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - P2000 North","Forest/Woodland","Enhancement","Planting","2.9"
"2010","Region 4","Tampa Bay Estuary Program","Rivergarden Shoreline Restoration Project","Riparian","Enhancement","Shoreline Stabilization/Enhancement","0"
"2010","Region 4","Tampa Bay Estuary Program","Mac Dill Phase III Seagrass Transplanting Project","SAV (Submerged Aquatic Vegetation)","Enhancement","Other",".69"
"2010","Region 4","Tampa Bay Estuary Program","Cockroach Bay Aquatic Preserve Salt Barren Restoration","Other","Enhancement","Invasives Control/Removal - Vegetation","26"
"2016","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay at Moccasin Lake Nature Park","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","5"
"2016","Region 4","Tampa Bay Estuary Program","Upland Forest Habitat Management","Forest/Woodland","Enhancement","Prescribed Burn","7"
"2015","Region 4","Tampa Bay Estuary Program","Wolf Branch Nature Preserve","Mangrove","Enhancement","Invasives Control/Removal - Fauna","526"
"2012","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay - Little Manatee River State Park","Forested Wetland","Enhancement","Invasives Control/Removal - Vegetation",".5"
"2013","Region 4","Tampa Bay Estuary Program","Give A Day - Rye Preserve","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","8"
"2015","Region 4","Tampa Bay Estuary Program","Give A Day for the Bay Moccasin Lake Nature Center","Forest/Woodland","Enhancement","Invasives Control/Removal - Vegetation","5"
